word,freq
Jahr,31379
Weblinks,12234
Einzelnachweis,11512
Jahrhundert,10471
Stadt,8535
Literatur,7820
Mann,7398
Mitglied,7297
Gemeinde,7128
Zeit,7124
Geschichte,6754
Leben,6160
Teil,5906
Ort,5811
Name,5642
Ende,5133
Platz,4814
Person,4719
Frau,4659
Film,4538
Werk,4348
Kirche,4281
km,4064
m,4059
Spiel,3943
Fußballspieler,3834
Familie,3769
Universität,3763
Sohn,3762
Saison,3762
Land,3735
Politiker,3492
Folge,3381
Landkreis,3354
Meter,3276
Gruppe,3243
Band,3242
Liste,3217
Kind,3156
Seite,2930
Gebiet,2927
Einwohner,2914
Art,2913
Haus,2793
Mensch,2767
Unternehmen,2742
Album,2680
Mannschaft,2679
Titel,2674
Tod,2660
Tag,2642
Sitz,2530
Tochter,2453
Verein,2401
Dorf,2382
Region,2367
Vater,2347
Gebäude,2325
Form,2308
Bereich,2306
Kilometer,2296
Gestorbe,2242
Anfang,2202
Einsatz,2153
Provinz,2142
Bau,2138
Karriere,2120
Buch,2112
Autor,2104
Erfolg,2064
König,2018
Beispiel,2000
Sprache,1989
Serie,1926
Amt,1898
Entwicklung,1896
Website,1859
Rolle,1850
Kreis,1850
Auswahl,1831
Punkt,1828
Schule,1799
Bruder,1788
Fernsehserie,1767
Quelle,1763
Mitte,1761
Spieler,1751
Bischof,1733
Weltmeisterschaft,1732
Roman,1729
Präsident,1721
Ortsteil,1709
Teilnehmer,1706
Zug,1693
Stand,1690
Bild,1676
Bedeutung,1676
Komponist,1670
Mal,1669
Lage,1664
Auszeichnung,1664
Insel,1655
Schiff,1641
Million,1641
Norden,1638
Team,1602
Klasse,1597
Musik,1597
Rahmen,1577
Straße,1570
Auflage,1559
Reihe,1548
Richtung,1548
Welt,1539
Süden,1539
Ergebnis,1528
Lied,1523
Professor,1512
Betrieb,1505
Studium,1501
Text,1492
Bevölkerung,1486
Linie,1474
Hochschullehrer,1471
Staat,1465
Staffel,1464
Beginn,1461
Arbeit,1455
Höhe,1454
Prozent,1447
Kloster,1446
Westen,1418
Organisation,1418
Regierung,1414
Künstler,1403
Wahl,1403
Schriftsteller,1401
Monat,1394
Bahnhof,1392
Vertrag,1386
Stelle,1376
Mutter,1373
Strecke,1366
Ziel,1364
Projekt,1361
Schrift,1342
System,1338
Osten,1335
Schauspieler,1335
Fluß,1324
Raum,1313
Maler,1306
Rang,1298
Funktion,1298
Bauwerk,1297
Weg,1291
Verbindung,1290
Krieg,1288
Träger,1284
Version,1282
Bezirk,1281
Sommer,1278
Veröffentlichung,1273
Produktion,1272
Recht,1269
Kanton,1267
Bezeichnung,1259
Architekt,1249
Alter,1244
Vorsitzende,1238
Runde,1232
Grenze,1228
Musiker,1227
Thema,1226
Partei,1225
Tor,1225
Zahl,1194
Artikel,1190
Burg,1182
Grund,1179
Firma,1171
cm,1167
Fall,1149
Gesellschaft,1149
Turnier,1149
Hälfte,1140
Begriff,1140
Ausstellung,1127
Wasser,1122
Finale,1122
mm,1120
Stadtteil,1114
Ausgabe,1107
Geographie,1106
Ausbildung,1101
Nähe,1099
Wort,1087
Minute,1081
Modell,1070
Beitrag,1067
Beschreibung,1062
Meisterschaft,1055
Bürgermeister,1050
Programm,1048
Gründung,1047
Regie,1047
Leiter,1038
Single,1037
Fläche,1035
Objekt,1029
Aufgabe,1026
Meister,1021
Liga,1016
Kunst,1013
Sieg,1009
Trainer,1009
Kategorie,1009
Anlage,1005
Stück,1005
Ortschaft,1001
Nationalmannschaft,1000
Mitarbeiter,996
Schauspielerin,995
Verlag,994
Nachfolger,993
Dienst,987
Stil,986
Gattung,978
Schlacht,976
Abgeordnete,975
Familienname,974
Politik,972
Lauf,972
Woche,970
Fahrzeug,968
Armee,968
Amerikaner,967
Problem,967
Kritik,964
Länge,962
Bundesstaat,957
Frage,953
Position,951
Leistung,950
Kultur,950
Figur,949
Museum,949
Herrschaft,949
Schloß,947
Truppe,947
Datum,941
Besitz,938
Leitung,938
Schüler,937
Darstellung,936
Ehe,932
Stimme,929
See,927
Information,918
Spielzeit,914
Rennen,911
Wettbewerb,906
Freund,904
Fußball,903
Zentrum,899
Beziehung,898
Preis,898
Eishockeyspieler,897
Lehrer,896
Theater,896
Zeitschrift,891
Vertreter,889
Sammlung,887
Herr,870
Abschnitt,868
Verwendung,862
Stunde,862
Anzahl,859
Einfluß,854
Siedlung,850
Möglichkeit,849
Aufnahme,847
Hilfe,845
Turm,842
Tätigkeit,837
Hand,835
Uhr,833
Song,832
Verkehr,827
Plan,827
Handlung,823
Auftrag,817
Zeitpunkt,814
Europameisterschaft,808
Direktor,806
Forschung,801
Wert,794
Spalte,790
Sänger,789
Soldat,784
Journalist,783
Station,782
Kampf,778
Abteilung,775
Grundlage,771
Sehenswürdigkeit,769
Regel,767
Einheit,767
Standort,767
Unterstützung,766
Angabe,766
Brücke,766
Verband,764
Tier,759
Generalmajor,759
Regisseur,756
Hauptstadt,755
Kaiser,753
Jude,749
Typ,749
Unternehmer,747
Untersuchung,744
Papst,744
Episode,742
Anteil,741
Einrichtung,741
Eltern,740
Schwester,740
Wirtschaft,739
Gegensatz,739
Sinn,738
Nummer,736
Verfahren,735
Division,735
Verlauf,735
Kapelle,730
Interesse,723
Element,721
Gesetz,720
Gut,716
Markt,715
Anschluß,713
Wappen,712
Hintergrund,711
Abschluß,709
Zusammenhang,709
Berg,708
Kraft,706
Architektur,703
Erzbischof,701
Bildung,701
Variante,699
Volk,699
Einführung,696
Produkt,695
Zusammenarbeit,694
Anmerkung,693
Persönlichkeit,692
Bundesliga,689
Konzert,688
Umgebung,687
Jurist,686
Gedicht,680
Verfügung,680
Basis,679
Hof,678
Arzt,676
Offizier,675
Bericht,673
Opfer,672
Entwurf,667
Sieger,665
Veranstaltung,665
Übersetzung,664
Herkunft,663
Boden,661
Motor,661
Größe,661
Verhältnis,658
Szene,657
Verwaltung,654
Jugend,653
Satz,652
Prozeß,647
Material,647
kg,646
Technik,644
Historiker,643
Orgel,642
Rest,639
Gelände,639
Bahn,638
Pfarrer,636
deutsch,634
Methode,632
Kontakt,625
Orden,625
Herzog,621
Reise,618
Aufstieg,618
Chor,617
Theologe,617
Wald,616
Niederlage,614
Boot,611
Farbe,611
Bildhauer,608
Baudenkmal,606
Kopf,606
