word,freq
역,16297
선수,14434
영화,12697
사람,10659
축구,9636
외부,8685
링크,8536
때,7385
사용,7350
후,6788
각주,6592
배우,6403
이후,6380
지역,5990
다음,5688
남자,5683
팀,5551
주,5446
국가,5154
말,5115
세기,5098
시작,4988
작품,4942
게임,4794
출생,4633
경우,4570
경기,4529
역사,4448
출신,4429
세계,4427
군,4356
전,4316
대표,4269
리그,4239
기록,4221
자신,4201
시,4198
이름,4041
시즌,3982
여자,3961
감독,3912
학교,3778
음반,3708
당시,3683
위치,3641
방송,3581
사망,3508
활동,3493
동문,3464
드라마,3420
텔레비전,3323
대회,3273
올림픽,3268
참가,3255
프로그램,3209
도시,3198
시대,3186
상,3177
설립,3129
대학,3070
전쟁,3054
정부,3032
포함,3000
출연,2977
사이,2936
뜻,2926
일부,2920
인구,2903
음악,2882
성,2880
제작,2879
선,2878
사회,2856
사건,2782
연구,2749
뒤,2736
문화,2728
이상,2724
일,2720
위원회,2679
가능,2660
수,2655
공식,2630
인물,2625
수상,2623
선거,2577
우승,2567
결과,2564
현,2484
동안,2459
일반,2458
곡,2451
존재,2436
관계,2436
교육,2422
개발,2379
발매,2337
기준,2304
관련,2281
참고,2276
문제,2237
주장,2236
가수,2190
현재,2182
행정,2180
구성,2178
국제,2176
여성,2161
이용,2156
지방,2152
목록,2150
설치,2138
정치,2137
법,2130
경제,2126
처음,2106
노래,2101
발생,2095
정보,2091
발견,2088
곳,2083
아들,2079
시간,2078
기술,2056
대학교,2056
시리즈,2044
지원,2044
기업,2043
위,2032
부분,2028
인,2017
등장,2014
졸업,1993
정도,1969
주요,1969
속,1968
대상,1931
의미,1931
과정,1928
사,1924
이전,1919
자료,1918
철도,1915
애니메이션,1914
그룹,1908
왕,1899
공격,1885
발표,1885
점,1869
대통령,1856
강,1854
진행,1848
의원,1840
변경,1834
최초,1832
기,1828
운동,1812
운영,1804
참여,1782
해,1777
부문,1759
교수,1750
동,1737
상태,1728
구역,1727
소속,1714
결정,1704
해당,1699
종,1692
부,1686
과학,1666
기타,1656
시스템,1654
아버지,1652
형태,1640
관리,1625
배경,1625
장,1624
독립,1624
구조,1619
영향,1604
특별,1600
안,1594
섬,1587
지정,1585
생각,1584
계획,1578
제공,1567
필요,1566
경력,1564
위원,1551
집,1533
평가,1532
과,1510
내용,1509
인간,1502
사랑,1495
골,1486
전투,1478
프로,1476
신,1470
앨범,1462
도로,1447
조직,1444
상대,1443
전체,1437
제국,1437
대부분,1435
야구,1432
조사,1427
사업,1425
언어,1425
중심,1425
주연,1423
진출,1414
회사,1410
딸,1409
기관,1408
산,1403
단체,1402
다양,1401
하계,1397
나라,1392
최고,1392
서비스,1387
이야기,1386
사실,1386
면,1386
조,1376
방식,1368
날,1364
노선,1362
예,1360
시절,1358
폐지,1355
시기,1355
센터,1353
중앙,1343
싱글,1343
스포츠,1339
중요,1328
데뷔,1325
생활,1321
대,1321
발전,1318
시설,1316
생산,1310
초기,1306
성공,1304
기능,1294
출전,1294
교통,1287
지구,1284
자유,1283
책,1279
방법,1278
차지,1271
홈페이지,1269
산업,1269
비디오,1269
이유,1250
연결,1244
당,1238
동시,1237
거주,1234
추가,1231
공개,1229
이론,1226
월드컵,1221
고등학교,1219
정책,1212
촌,1211
가족,1209
원,1209
가운데,1207
개최,1206
역할,1199
전국,1198
표현,1196
모델,1187
소재,1181
자리,1179
작가,1176
국,1176
의회,1174
규모,1172
개인,1171
문헌,1167
아래,1163
환경,1160
기간,1160
마지막,1160
대신,1158
물,1155
공,1152
제도,1147
마을,1146
클럽,1146
공동,1144
국민,1143
앞,1141
길,1140
분류,1140
사이트,1136
교회,1135
구간,1130
육군,1128
승리,1118
종교,1108
메달리스트,1105
유지,1098
끝,1093
배,1091
정,1088
개요,1087
역대,1087
소설,1086
연기,1086
생애,1082
대전,1081
반,1079
후보,1079
시장,1076
남,1074
운행,1072
특징,1070
선정,1065
건설,1065
모습,1063
건물,1062
명,1058
전기,1057
공간,1057
학생,1053
라디오,1052
결혼,1049
정치인,1046
열차,1045
황제,1043
상황,1039
형,1036
형성,1032
반대,1023
보기,1020
컴퓨터,1019
어머니,1018
학급,1015
작전,1014
통합,1012
출시,1009
유명,1004
손,998
편성,997
군사,995
친구,989
장관,988
